tweet,is_retweet,retweeted,mentioned,hashtags,clean_tweet
RT @RWPUSA: Constitutional law 101: Is withholding military aid for Ukraine in order to coerce a criminal investigation of a political oppo…,True,['@RWPUSA'],[],[], constitut law  withhold militari aid ukrain order coerc crimin investig polit oppo 
RT @RWPUSA: Constitutional law 101: Is withholding military aid for Ukraine in order to coerce a criminal investigation of a political oppo…,True,['@RWPUSA'],[],[], constitut law  withhold militari aid ukrain order coerc crimin investig polit oppo 
RT @RWPUSA: Constitutional law 101: Is withholding military aid for Ukraine in order to coerce a criminal investigation of a political oppo…,True,['@RWPUSA'],[],[], constitut law  withhold militari aid ukrain order coerc crimin investig polit oppo 
RT @LeftFlankVets: United States got weapons to Ukraine faster than Covid tests to its citizens,True,['@LeftFlankVets'],[],[], unit state got weapon ukrain faster covid test citizen
Dollar rises to five-week high after Fed policy decision https://t.co/S4uHe0Rjql https://t.co/RdmtcyKfyp,False,[],[],[],dollar rise five week high fed polici decis 
RT @JRubinBlogger: Opinion | Russia’s looming invasion of Ukraine shows why Trump’s first impeachment was necessary and proper &lt;-- this htt…,True,['@JRubinBlogger'],[],[], opinion russia loom invas ukrain show trump first impeach necessari proper lt htt 
"RT @sumlenny: Belarusian border guards have given several shots from long-barrel guns towards Polish border guards last night, Polish Borde…",True,['@sumlenny'],[],[], belarusian border guard given sever shot long barrel gun toward polish border guard last night polish bord 
RT @TomiLahren: Russia wants Ukraine. China wants Taiwan. Sleepy Joe wants a nap. We will discuss on @OutnumberedFNC noonET FoxNews,True,['@TomiLahren'],['@OutnumberedFNC'],[], russia want ukrain china want taiwan sleepi joe want nap discuss noonet foxnew
RT @alida_clara: @Yerpyderpdederp @jeffmason1 @POTUS No. They and millions of other people want to know why he hasn't visited OUR Southern…,True,['@alida_clara'],"['@Yerpyderpdederp', '@jeffmason1', '@POTUS']",[], million peopl want know visit southern 
"RT @DavidDiSab: America sending Ukraine guns &amp; ammo late, but maybe not too late.",True,['@DavidDiSab'],[],[], america send ukrain gun amp ammo late mayb late 
"RT @EndGameWW3: On the edge of war
https://t.co/aHpZNuShQQ",True,['@EndGameWW3'],[],[], edg war 
"RT @McFaul: Putin has amassed 100,000 + troops on Ukraine's borders, but some American commentators on left &amp; right blame Biden for this cr…",True,['@McFaul'],[],[], putin amass   troop ukrain border american comment left amp right blame biden cr 
RT @DeanoBeano1: ⚡️Breaking⚡️ The US Embassy in Kiev has stated “The U.S. Embassy urges U.S. citizens in Ukraine to consider departing now…,True,['@DeanoBeano1'],[],[], break us embassi kiev state u embassi urg u citizen ukrain consid depart 
"RT @claudiatenney: @POTUS While crime wreaks havoc on our communities, Russia prepares to invade Ukraine, inflation spikes and our border c…",True,['@claudiatenney'],['@POTUS'],[], crime wreak havoc commun russia prepar invad ukrain inflat spike border c 
Time for Ukraine to recognize Kosova as an independent state and future NATO ally https://t.co/v7EKd6zSuH,False,[],[],[],time ukrain recogn kosova independ state futur nato alli 
"RT @JackPosobiec: Apparently, Biden was unaware of the talks going on this week in Paris between Germany, France, Russia, and Ukraine",True,['@JackPosobiec'],[],[], appar biden unawar talk go week pari germani franc russia ukrain
